Inst_salud;Domicilio;Otro;Sin_informacion;total;Ano;id_regimen_Regimen;id_area_Area_Regimen
745;1;0;0;746;2008;sub;21
181;1;0;0;182;2008;sub;4
725;7;3;0;735;2008;sub;15
2598;8;2;3;2611;2008;sub;14
2538;11;1;1;2551;2008;sub;22
860;2;1;0;863;2008;sub;20
2588;6;1;1;2596;2008;sub;3
2455;9;3;0;2467;2008;sub;9
441;1;0;0;442;2008;sub;8
994;2;0;1;997;2008;sub;7
1612;8;3;1;1624;2008;sub;17
137;1;0;0;138;2008;sub;2
41;0;0;0;41;2008;sub;19
218;2;1;0;221;2008;sub;11
187;1;0;0;188;2008;sub;1
275;1;0;0;276;2008;sub;12
73;0;1;0;74;2008;sub;10
2123;10;2;0;2135;2008;sub;13
4752;16;5;0;4773;2008;sub;5
34;0;0;0;34;2008;sub;18
167;0;1;0;168;2008;sub;16
23744;87;24;7;23862;2008;sub;6
618;0;3;0;621;2009;sub;21
191;2;0;0;193;2009;sub;4
643;4;3;0;650;2009;sub;15
2669;12;3;0;2684;2009;sub;14
2641;8;2;0;2651;2009;sub;22
716;2;1;0;719;2009;sub;20
2605;4;0;0;2609;2009;sub;3
2499;9;8;0;2516;2009;sub;9
411;0;1;0;412;2009;sub;8
1081;6;2;0;1089;2009;sub;7
1870;4;1;0;1875;2009;sub;17
165;0;0;0;165;2009;sub;2
37;0;0;0;37;2009;sub;19
212;4;1;0;217;2009;sub;11
231;3;0;0;234;2009;sub;1
278;3;0;0;281;2009;sub;12
78;0;0;0;78;2009;sub;10
1817;6;1;0;1824;2009;sub;13
4506;12;4;3;4525;2009;sub;5
20;1;0;0;21;2009;sub;18
119;0;2;0;121;2009;sub;16
23407;80;32;3;23522;2009;sub;6
631;0;0;0;631;2010;sub;21
204;0;0;0;204;2010;sub;4
640;2;3;0;645;2010;sub;15
2655;7;4;0;2666;2010;sub;14
2498;7;1;0;2506;2010;sub;22
848;1;0;0;849;2010;sub;20
2871;6;2;0;2879;2010;sub;3
2602;5;3;0;2610;2010;sub;9
507;2;1;0;510;2010;sub;8
1107;4;1;0;1112;2010;sub;7
1386;5;4;0;1395;2010;sub;17
151;0;1;0;152;2010;sub;2
44;0;0;0;44;2010;sub;19
237;1;1;0;239;2010;sub;11
175;0;0;0;175;2010;sub;1
231;1;0;0;232;2010;sub;12
84;0;0;0;84;2010;sub;10
1903;9;0;0;1912;2010;sub;13
4833;8;2;0;4843;2010;sub;5
22;0;0;0;22;2010;sub;18
