cesarea;espontaneo;instrumentado;sin_informacion;total ;ano;id_regimen_regimen;id_area_area_regimen
52;130;6;0;188;2008;sub;1
82;150;2;0;234;2009;sub;1
48;120;7;0;175;2010;sub;1
70;142;1;0;213;2011;sub;1
61;124;6;0;191;2012;sub;1
73;169;4;0;246;2013;sub;1
78;147;4;0;229;2014;sub;1
68;146;5;0;219;2015;sub;1
49;134;4;0;187;2016;sub;1
51;99;4;0;154;2017;sub;1
55;100;3;0;158;2018;sub;1
325;443;27;7;802;2008;con;1
328;478;31;6;843;2009;con;1
331;450;36;0;817;2010;con;1
361;515;44;0;920;2011;con;1
312;446;27;0;785;2012;con;1
435;502;25;0;962;2013;con;1
424;479;23;0;926;2014;con;1
419;456;19;0;894;2015;con;1
440;514;16;0;970;2016;con;1
365;427;19;0;811;2017;con;1
291;367;15;1;674;2018;con;1
15;18;3;1;37;2008;esp;1
10;20;2;0;32;2009;esp;1
11;25;2;0;38;2010;esp;1
19;17;3;0;39;2011;esp;1
12;23;1;0;36;2012;esp;1
20;19;2;0;41;2013;esp;1
22;22;2;0;46;2014;esp;1
19;13;3;0;35;2015;esp;1
16;18;2;0;36;2016;esp;1
11;19;0;0;30;2017;esp;1
12;14;3;0;29;2018;esp;1
63;146;10;0;219;2008;nas;1
60;121;6;0;187;2009;nas;1
27;70;6;0;103;2010;nas;1
45;79;9;0;133;2011;nas;1
26;80;2;0;108;2012;nas;1
37;50;5;0;92;2013;nas;1
29;48;2;0;79;2014;nas;1
15;31;1;0;47;2015;nas;1
10;20;2;0;32;2016;nas;1
8;22;1;0;31;2017;nas;1
20;34;1;0;55;2018;nas;1
54;80;4;0;138;2008;sub;2
48;112;5;0;165;2009;sub;2
51;100;1;0;152;2010;sub;2
65;123;5;0;193;2011;sub;2
71;122;2;0;195;2012;sub;2
84;163;3;0;250;2013;sub;2
56;120;1;0;177;2014;sub;2
64;118;4;0;186;2015;sub;2
56;86;1;0;143;2016;sub;2
53;79;1;0;133;2017;sub;2
55;101;1;0;157;2018;sub;2
557;691;65;6;1319;2008;con;2
569;646;97;4;1316;2009;con;2
642;641;64;3;1350;2010;con;2
625;706;70;0;1401;2011;con;2
595;666;45;0;1306;2012;con;2
624;648;47;0;1319;2013;con;2
659;623;51;0;1333;2014;con;2
654;604;46;0;1304;2015;con;2
657;617;50;0;1324;2016;con;2
614;590;45;0;1249;2017;con;2
530;502;51;0;1083;2018;con;2
17;20;3;0;40;2008;esp;2
15;26;4;0;45;2009;esp;2
23;17;4;1;45;2010;esp;2
25;23;0;0;48;2011;esp;2
18;34;6;0;58;2012;esp;2
32;21;2;0;55;2013;esp;2
25;20;2;0;47;2014;esp;2
23;14;1;0;38;2015;esp;2
35;16;1;0;52;2016;esp;2
25;13;1;0;39;2017;esp;2
13;21;1;0;35;2018;esp;2
70;151;1;0;222;2008;nas;2
81;132;3;0;216;2009;nas;2
52;76;1;0;129;2010;nas;2
54;81;3;0;138;2011;nas;2
44;75;1;0;120;2012;nas;2
24;54;0;0;78;2013;nas;2
29;48;0;0;77;2014;nas;2
15;28;1;0;44;2015;nas;2
18;18;0;0;36;2016;nas;2
15;16;0;0;31;2017;nas;2
18;37;0;0;55;2018;nas;2
841;1708;37;10;2596;2008;sub;3
808;1751;38;12;2609;2009;sub;3
817;2032;30;0;2879;2010;sub;3
791;1779;47;0;2617;2011;sub;3
801;1798;36;0;2635;2012;sub;3
830;1779;42;1;2652;2013;sub;3
861;1756;38;0;2655;2014;sub;3
820;1736;57;0;2613;2015;sub;3
824;1606;36;0;2466;2016;sub;3
850;1442;36;0;2328;2017;sub;3
746;1457;23;0;2226;2018;sub;3
2148;3740;253;37;6178;2008;con;3
2284;3790;237;36;6347;2009;con;3
2358;3690;254;3;6305;2010;con;3
2500;3668;227;3;6398;2011;con;3
2554;3805;226;0;6585;2012;con;3
2594;3607;198;0;6399;2013;con;3
2480;3734;160;0;6374;2014;con;3
2850;4124;172;0;7146;2015;con;3
2796;4108;185;0;7089;2016;con;3
2617;3878;145;0;6640;2017;con;3
2487;3582;134;1;6204;2018;con;3
67;141;12;2;222;2008;esp;3
71;139;7;3;220;2009;esp;3
71;147;9;1;228;2010;esp;3
72;144;14;0;230;2011;esp;3
80;124;5;0;209;2012;esp;3
79;123;17;0;219;2013;esp;3
87;127;10;0;224;2014;esp;3
98;109;5;0;212;2015;esp;3
95;110;7;0;212;2016;esp;3
93;109;8;0;210;2017;esp;3
79;96;3;0;178;2018;esp;3
644;1365;33;5;2047;2008;nas;3
533;1203;22;6;1764;2009;nas;3
350;860;15;0;1225;2010;nas;3
379;792;16;0;1187;2011;nas;3
310;638;16;0;964;2012;nas;3
265;562;12;0;839;2013;nas;3
218;402;13;0;633;2014;nas;3
151;304;10;0;465;2015;nas;3
111;189;4;0;304;2016;nas;3
100;144;3;0;247;2017;nas;3
229;328;4;0;561;2018;nas;3
52;124;5;1;182;2008;sub;4
57;133;3;0;193;2009;sub;4
67;136;1;0;204;2010;sub;4
51;100;1;0;152;2011;sub;4
68;109;3;0;180;2012;sub;4
65;114;3;0;182;2013;sub;4
61;94;3;0;158;2014;sub;4
56;95;3;0;154;2015;sub;4
49;69;0;0;118;2016;sub;4
51;56;1;0;108;2017;sub;4
30;71;1;0;102;2018;sub;4
676;565;77;9;1327;2008;con;4
772;623;63;5;1463;2009;con;4
907;728;90;3;1728;2010;con;4
897;571;91;1;1560;2011;con;4
965;689;74;0;1728;2012;con;4
902;603;84;0;1589;2013;con;4
956;606;86;0;1648;2014;con;4
985;567;89;0;1641;2015;con;4
1026;670;89;0;1785;2016;con;4
986;674;72;0;1732;2017;con;4
836;513;65;0;1414;2018;con;4
25;25;4;0;54;2008;esp;4
17;23;4;1;45;2009;esp;4
27;23;2;0;52;2010;esp;4
21;26;3;0;50;2011;esp;4
40;25;3;0;68;2012;esp;4
38;30;3;0;71;2013;esp;4
27;21;4;0;52;2014;esp;4
20;12;2;0;34;2015;esp;4
29;32;3;0;64;2016;esp;4
21;21;3;0;45;2017;esp;4
22;19;2;0;43;2018;esp;4
45;124;4;0;173;2008;nas;4
64;98;6;0;168;2009;nas;4
60;85;5;0;150;2010;nas;4
50;64;8;0;122;2011;nas;4
53;49;4;0;106;2012;nas;4
58;64;5;0;127;2013;nas;4
43;32;4;0;79;2014;nas;4
63;33;2;0;98;2015;nas;4
43;28;7;0;78;2016;nas;4
50;31;5;0;86;2017;nas;4
49;47;8;0;104;2018;nas;4
1441;3247;64;21;4773;2008;sub;5
1238;3195;82;10;4525;2009;sub;5
1346;3434;61;2;4843;2010;sub;5
1287;3113;50;0;4450;2011;sub;5
1352;3041;42;0;4435;2012;sub;5
1233;2467;31;0;3731;2013;sub;5
1114;2619;50;0;3783;2014;sub;5
1108;2326;38;0;3472;2015;sub;5
941;2154;32;0;3127;2016;sub;5
1035;2114;33;0;3182;2017;sub;5
1002;2195;28;0;3225;2018;sub;5
1565;3007;162;23;4757;2008;con;5
1624;2783;172;22;4601;2009;con;5
1716;2780;182;1;4679;2010;con;5
1686;2721;150;2;4559;2011;con;5
1847;2902;143;0;4892;2012;con;5
2069;2836;105;0;5010;2013;con;5
2164;3129;157;0;5450;2014;con;5
2300;3514;128;0;5942;2015;con;5
2401;3442;126;0;5969;2016;con;5
2156;3291;101;1;5549;2017;con;5
2055;3146;101;0;5302;2018;con;5
59;110;12;3;184;2008;esp;5
66;103;11;6;186;2009;esp;5
55;122;14;2;193;2010;esp;5
81;141;9;0;231;2011;esp;5
66;128;10;0;204;2012;esp;5
66;109;12;0;187;2013;esp;5
100;115;10;0;225;2014;esp;5
91;113;12;0;216;2015;esp;5
85;108;4;0;197;2016;esp;5
68;108;7;0;183;2017;esp;5
70;96;3;0;169;2018;esp;5
559;1552;32;6;2149;2008;nas;5
606;1603;31;5;2245;2009;nas;5
357;1038;21;0;1416;2010;nas;5
411;1108;13;0;1532;2011;nas;5
350;871;4;0;1225;2012;nas;5
354;784;4;0;1142;2013;nas;5
334;765;6;0;1105;2014;nas;5
236;449;6;0;691;2015;nas;5
165;328;2;0;495;2016;nas;5
165;280;3;0;448;2017;nas;5
266;405;3;0;674;2018;nas;5
7464;15872;447;79;23862;2008;sub;6
7050;15993;425;54;23522;2009;sub;6
7015;16615;383;5;24018;2010;sub;6
7078;15429;421;2;22930;2011;sub;6
7195;14913;363;3;22474;2012;sub;6
7192;14018;321;2;21533;2013;sub;6
6910;14062;374;1;21347;2014;sub;6
6832;13342;362;0;20536;2015;sub;6
5987;11964;292;1;18244;2016;sub;6
6189;11699;246;0;18134;2017;sub;6
5775;11317;209;0;17301;2018;sub;6
27955;40353;3373;347;72028;2008;con;6
29101;38450;3236;399;71186;2009;con;6
28922;37430;3283;77;69712;2010;con;6
29949;35917;2930;21;68817;2011;con;6
30320;36712;2822;0;69854;2012;con;6
31345;35676;2449;1;69471;2013;con;6
32104;37492;2309;0;71905;2014;con;6
33577;38552;2291;0;74420;2015;con;6
33689;37855;2173;0;73717;2016;con;6
30780;35834;1978;1;68593;2017;con;6
28278;32904;1675;2;62859;2018;con;6
1179;1680;211;28;3098;2008;esp;6
1229;1656;220;47;3152;2009;esp;6
1275;1715;206;32;3228;2010;esp;6
1345;1741;212;0;3298;2011;esp;6
1256;1651;220;0;3127;2012;esp;6
1437;1582;171;0;3190;2013;esp;6
1476;1523;150;0;3149;2014;esp;6
1387;1449;113;0;2949;2015;esp;6
1331;1292;119;0;2742;2016;esp;6
1214;1166;92;0;2472;2017;esp;6
1009;1065;68;0;2142;2018;esp;6
5298;12078;410;35;17821;2008;nas;6
5334;11782;346;41;17503;2009;nas;6
3811;8980;218;7;13016;2010;nas;6
3471;7472;227;0;11170;2011;nas;6
3101;6553;196;3;9853;2012;nas;6
3032;5881;128;1;9042;2013;nas;6
2515;4792;131;2;7440;2014;nas;6
1805;2997;70;1;4873;2015;nas;6
1530;2367;53;0;3950;2016;nas;6
1120;1686;49;0;2855;2017;nas;6
2027;2949;70;1;5047;2018;nas;6
340;640;15;2;997;2008;sub;7
371;704;14;0;1089;2009;sub;7
375;714;22;1;1112;2010;sub;7
407;758;20;0;1185;2011;sub;7
342;639;14;0;995;2012;sub;7
376;568;12;0;956;2013;sub;7
395;609;7;0;1011;2014;sub;7
417;626;9;0;1052;2015;sub;7
308;532;12;0;852;2016;sub;7
376;493;13;0;882;2017;sub;7
327;582;6;0;915;2018;sub;7
3331;4634;448;29;8442;2008;con;7
3431;4407;441;55;8334;2009;con;7
3266;4258;429;14;7967;2010;con;7
3440;3870;374;0;7684;2011;con;7
3330;3816;336;0;7482;2012;con;7
3203;3894;306;0;7403;2013;con;7
3673;4066;282;0;8021;2014;con;7
3604;3798;252;0;7654;2015;con;7
3517;3661;261;0;7439;2016;con;7
3173;3452;256;0;6881;2017;con;7
2981;3270;195;0;6446;2018;con;7
134;166;27;3;330;2008;esp;7
170;193;10;5;378;2009;esp;7
153;203;32;2;390;2010;esp;7
179;194;28;0;401;2011;esp;7
153;184;20;0;357;2012;esp;7
168;190;21;0;379;2013;esp;7
207;184;15;0;406;2014;esp;7
137;158;18;0;313;2015;esp;7
153;153;15;0;321;2016;esp;7
113;108;13;0;234;2017;esp;7
118;107;7;0;232;2018;esp;7
508;1131;36;1;1676;2008;nas;7
490;952;25;2;1469;2009;nas;7
342;727;21;0;1090;2010;nas;7
334;592;10;0;936;2011;nas;7
272;518;7;0;797;2012;nas;7
311;463;12;0;786;2013;nas;7
247;369;7;0;623;2014;nas;7
154;203;5;0;362;2015;nas;7
90;99;3;0;192;2016;nas;7
79;100;1;0;180;2017;nas;7
178;201;0;0;379;2018;nas;7
163;273;6;0;442;2008;sub;8
142;259;9;2;412;2009;sub;8
156;344;10;0;510;2010;sub;8
152;310;17;0;479;2011;sub;8
146;296;7;0;449;2012;sub;8
157;277;2;0;436;2013;sub;8
196;273;1;0;470;2014;sub;8
212;280;10;0;502;2015;sub;8
188;252;3;0;443;2016;sub;8
140;232;4;0;376;2017;sub;8
143;251;8;0;402;2018;sub;8
1615;2024;189;14;3842;2008;con;8
1661;1969;194;10;3834;2009;con;8
1539;1806;179;5;3529;2010;con;8
1628;1674;172;0;3474;2011;con;8
1645;1737;153;0;3535;2012;con;8
1653;1715;134;0;3502;2013;con;8
1717;1750;150;0;3617;2014;con;8
1660;1698;138;0;3496;2015;con;8
1708;1710;133;0;3551;2016;con;8
1591;1482;111;0;3184;2017;con;8
1475;1433;99;0;3007;2018;con;8
80;89;7;2;178;2008;esp;8
87;89;16;5;197;2009;esp;8
65;92;14;4;175;2010;esp;8
77;82;14;0;173;2011;esp;8
72;88;17;0;177;2012;esp;8
89;90;10;0;189;2013;esp;8
73;74;10;0;157;2014;esp;8
78;70;8;0;156;2015;esp;8
77;52;6;0;135;2016;esp;8
86;55;2;0;143;2017;esp;8
62;59;8;0;129;2018;esp;8
202;351;13;4;570;2008;nas;8
181;343;13;4;541;2009;nas;8
134;296;7;1;438;2010;nas;8
98;156;10;0;264;2011;nas;8
85;175;5;1;266;2012;nas;8
107;145;1;0;253;2013;nas;8
59;89;3;0;151;2014;nas;8
51;51;6;0;108;2015;nas;8
33;50;1;0;84;2016;nas;8
36;33;2;0;71;2017;nas;8
61;106;3;0;170;2018;nas;8
819;1583;54;11;2467;2008;sub;9
781;1686;44;5;2516;2009;sub;9
775;1785;50;0;2610;2010;sub;9
874;1840;77;0;2791;2011;sub;9
1017;1852;60;0;2929;2012;sub;9
1170;2022;61;0;3253;2013;sub;9
1110;1939;76;0;3125;2014;sub;9
1028;1781;64;0;2873;2015;sub;9
